speaker	file	word	syll-nb	segment	syll-id	position	constriction	glottal-burst	vowel	v-duration	glottalization	vot'	vot	interburst	type 
s08	geo020s08a0023v02	post>amt>i	3	p	1	initial	97.62	0	o	134.51	0	0	76.84	0	pulmonic
s08	geo020s08a0024v01	post>amt>i	3	p	1	initial	78.50	0	o	121.52	0	0	71.73	0	pulmonic
s08	geo020s08a0024v02	post>amt>i	3	p	1	initial	80.54	0	o	119.56	1	0	75.52	0	pulmonic
s08	geo020s08a0025v02	t>it>uli	3	t>	1	initial	70.52	1	i	97.92	1	50.40	47.25	3.15	ejective
s08	geo020s08a0025v02	t>it>uli	3	t>	2	medial	80.14	1	u	113.01	0	41.58	39.22	2.36	ejective
s08	geo020s08a0026v01	t>it>uli	3	t>	1	initial	78.14	1	i	89.76	0	37.36	35.79	1.57	ejective
s08	geo020s08a0026v01	t>it>uli	3	t>	2	medial	76.86	1	u	101.94	0	40.79	37.45	3.34	ejective
s08	geo020s08a0026v02	t>it>uli	3	t>	1	initial	71.80	1	i	94.50	0	54.73	51.31	3.42	ejective
s08	geo020s08a0026v02	t>it>uli	3	t>	2	medial	93.46	1	u	108.17	0	44.16	41.85	2.31	ejective
s08	geo020s08a0027v01	k>enk>ra	2	k>	1	initial	72.28	1	e	127.08	1	54.47	52.23	2.24	ejective
s08	geo020s08a0029v02	p>ilot>i	3	p>	1	initial	90.45	1	i	92.26	0	20.26	18.04	2.22	ejective
s08	geo020s08a0029v02	p>ilot>i	3	t>	3	medial	74.18	1	i	84.91	0	33.28	33.28	0	ejective
s08	geo020s08a0030v01	p>ilot>i	3	p>	1	initial	79.88	1	i	90.39	1	54.77	53.18	1.59	ejective
s08	geo020s08a0030v01	p>ilot>i	3	t>	3	medial	75.50	0	i	66.87	0	69.37	66.87	2.50	ejective
s08	geo020s08a0030v02	p>ilot>i	3	p>	1	initial	82.40	1	i	81.48	0	26.36	24.52	1.84	ejective
s08	geo020s08a0030v02	p>ilot>i	3	t>	3	medial	85.21	0	i	110.48	0	39.65	33.06	6.59	ejective
s08	geo020s08a0033v02	k>ak>abi	3	k>	1	initial	60.56	1	a	142.00	1	73.38	73.38	0	ejective
s08	geo020s08a0033v02	k>ak>abi	3	k>	2	medial	65.29	1	a	118.59	0	88.03	86.31	1.72	ejective
s08	geo020s08a0034v01	k>ak>abi	3	k>	1	initial	81.52	0	a	101.03	1	55.99	43.38	12.61	ejective
s08	geo020s08a0034v01	k>ak>abi	3	k>	2	medial	96.39	0	a	64.11	0	44.72	9.46	35.26	ejective
s08	geo020s08a0034v02	k>ak>abi	3	k>	1	initial	65.44	1	a	120.82	1	51.81	47.63	4.18	ejective
s08	geo020s08a0034v02	k>ak>abi	3	k>	2	medial	61.05	0	a	110.89	0	33.76	30.87	2.89	ejective
s08	geo020s08a0035v01	rat>avi	3	t>	2	medial	84.50	1	a	126.78	1	65.20	63.61	1.58	ejective
s08	geo020s08a0039v01	k>ak>ao	3	k>	1	initial	67.33	1	a	128.48	0	28.31	26.11	2.20	ejective
s08	geo020s08a0039v01	k>ak>ao	3	k>	2	medial	60.96	1	a	139.20	1	46.04	44.54	1.50	ejective
s08	geo020s08a0041v02	t>erori	3	t>	1	initial	72.94	1	e	159.40	0	53.01	49.53	3.48	ejective
s08	geo020s08a0042v01	t>erori	3	t>	1	initial	81.37	1	e	137.43	1	44.60	42.56	2.05	ejective
s08	geo020s08a0042v02	t>erori	3	t>	1	initial	66.71	1	e	134.99	1	46.40	42.25	4.15	ejective
s08	geo020s08a0045v01	q>lup>i	2	p>	2	medial	81.29	1	i	138.40	1	140.04	138.40	1.64	ejective
s08	geo020s08a0047v01	t>ank>i	2	t>	1	initial	77.44	1	a	90.59	1	52.80	50.38	2.42	ejective
s08	geo020s08a0047v02	t>ank>i	2	t>	1	initial	80.03	1	a	115.70	0	53.40	50.43	2.97	ejective
s08	geo020s08a0048v01	t>emp>o	2	t>	1	initial	111.79	1	e	114.18	1	65.16	61.70	3.46	ejective
s08	geo020s08a0055v02	korts>ili	3	k	1	initial	58.68	0	o	139.28	0	0	82.88	0	pulmonic
s08	geo020s08a0056v01	korts>ili	3	k	1	initial	75.40	0	o	141.51	0	0	96.44	0	pulmonic
s08	geo020s08a0056v02	korts>ili	3	k	1	initial	53.54	0	o	145.99	0	0	100.78	0	pulmonic
s08	geo020s08a0057v01	p>api	2	p>	1	initial	56.88	0	a	148.81	0	79.62	78.85	0.77	ejective
s08	geo020s08a0057v01	p>api	2	p	2	medial	106.00	0	i	116.04	0	0	116.04	0	pulmonic
s08	geo020s08a0059v01	p>at>ara	3	p>	1	initial	83.99	1	a	122.16	1	46.65	45.11	1.54	ejective
s08	geo020s08a0059v01	p>at>ara	3	t>	2	medial	77.94	1	a	143.90	0	32.77	29.83	2.94	ejective
s08	geo020s08a0059v02	k>vart>et>i	3	t>	3	medial	113.40	0	i	137.32	0	52.98	52.98	0	ejective
s08	geo020s08a0060v01	k>vart>et>i	3	t>	3	medial	57.29	0	i	85.95	1	85.95	85.95	0	ejective
s08	geo020s08a0060v02	k>vart>et>i	3	t>	3	medial	76.97	0	i	110.36	0	22.42	21.42	1.00	ejective
s08	geo020s08a0061v02	t>abak>a	3	t>	1	initial	63.22	1	a	135.79	1	81.88	79.64	2.23	ejective
s08	geo020s08a0061v02	t>abak>a	3	k>	3	medial	74.38	0	a	124.62	1	61.78	57.43	4.34	ejective
s08	geo020s08a0062v01	t>abak>a	3	t>	1	initial	78.14	1	a	108.51	1	31.41	28.62	2.79	ejective
s08	geo020s08a0062v01	t>abak>a	3	k>	3	medial	54.11	1	a	95.65	1	97.58	95.65	1.94	ejective
s08	geo020s08a0062v02	t>abak>a	3	t>	1	initial	66.50	1	a	111.42	0	58.89	57.56	1.33	ejective
s08	geo020s08a0062v02	t>abak>a	3	k>	3	medial	69.01	0	a	100.63	0	33.60	30.95	2.65	ejective
s08	geo020s08a0063v01	p>iri	2	p>	1	initial	100.51	1	i	143.94	0	42.97	41.14	1.83	ejective
s08	geo020s08a0063v02	p>ark>et>i	3	p>	1	initial	72.80	1	a	121.13	1	52.83	50.55	2.28	ejective
s08	geo020s08a0063v02	p>ark>et>i	3	t>	3	medial	79.99	0	i	106.09	0	23.66	23.66	0	ejective
s08	geo020s08a0064v01	p>ark>et>i	3	p>	1	initial	80.25	1	a	115.05	1	38.35	36.54	1.80	ejective
s08	geo020s08a0064v01	p>ark>et>i	3	t>	3	medial	103.38	0	i	44.05	1	82.60	44.05	38.55	ejective
s08	geo020s08a0064v02	p>ark>et>i	3	p>	1	initial	82.96	1	a	120.34	1	47.85	46.05	1.80	ejective
s08	geo020s08a0064v02	p>ark>et>i	3	t>	3	medial	85.50	1	i	108.33	0	31.17	28.64	2.54	ejective
s08	geo020s08a0065v01	k>at>a	2	k>	1	initial	75.12	1	a	120.96	1	71.51	69.67	1.83	ejective
s08	geo020s08a0065v01	k>at>a	2	t>	2	medial	84.47	1	a	115.83	1	115.83	115.83	0	ejective
s08	geo020s08a0067v01	k>ek>letsi	3	k>	1	initial	67.57	1	e	107.95	0	52.12	50.59	1.53	ejective
s08	geo020s08a0067v02	p>ats>ia	3	p>	1	initial	85.24	1	a	112.19	0	31.01	29.17	1.85	ejective
s08	geo020s08a0068v01	p>ats>ia	3	p>	1	initial	81.11	1	a	111.78	1	45.30	43.19	2.11	ejective
s08	geo020s08a0068v02	p>ats>ia	3	p>	1	initial	66.83	1	a	123.39	0	37.61	35.62	1.99	ejective
s08	geo020s08a0069v02	p>ark>i	2	p>	1	initial	87.77	1	a	141.70	0	70.06	69.02	1.05	ejective
s08	geo020s08a0070v01	p>ark>i	2	p>	1	initial	82.46	1	a	120.30	1	52.22	49.89	2.33	ejective
s08	geo020s08a0070v02	p>ark>i	2	p>	1	initial	78.82	1	a	106.77	0	31.38	29.20	2.18	ejective
s08	geo020s08a0071v01	k>ep>va	2	k>	1	initial	75.44	1	e	116.78	1	56.80	56.80	0	ejective
s08	geo020s08a0073v01	post>a	2	p	1	initial	97.52	0	o	139.26	0	0	82.69	0	pulmonic
s08	geo020s08a0075v02	k>ap>ela	3	k>	1	initial	62.65	1	a	108.39	1	63.65	63.65	0	ejective
s08	geo020s08a0075v02	k>ap>ela	3	p>	2	medial	83.91	1	e	89.42	1	61.74	60.38	1.36	ejective
s08	geo020s08a0076v01	k>ap>ela	3	k>	1	initial	73.12	1	a	106.35	0	36.58	34.90	1.68	ejective
s08	geo020s08a0076v02	k>ap>ela	3	k>	1	initial	48.55	1	a	107.02	0	39.57	38.11	1.45	ejective
s08	geo020s08a0076v02	k>ap>ela	3	p>	2	medial	76.48	1	e	90.53	0	16.87	15.28	1.60	ejective
s08	geo020s08a0077v02	k>akt>usi	3	k>	1	initial	52.19	1	a	119.17	1	45.87	43.57	2.30	ejective
s08	geo020s08a0078v01	k>akt>usi	3	k>	1	initial	64.63	1	a	108.29	1	55.57	52.62	2.94	ejective
s08	geo020s08a0078v02	k>akt>usi	3	k>	1	initial	71.23	1	a	114.68	1	116.77	114.68	2.09	ejective
s08	geo020s08a0079v02	Cap>it>o	3	p>	2	medial	82.68	1	i	78.76	0	33.21	32.00	1.21	ejective
s08	geo020s08a0079v02	Cap>it>o	3	t>	3	medial	98.21	1	o	120.73	0	14.19	11.74	2.45	ejective
s08	geo020s08a0080v01	Cap>it>o	3	p>	2	medial	93.08	0	i	53.80	0	14.28	11.54	2.75	ejective
s08	geo020s08a0080v01	Cap>it>o	3	t>	3	medial	70.28	0	o	78.76	1	78.76	78.76	0	ejective
s08	geo020s08a0080v02	Cap>it>o	3	p>	2	medial	88.94	1	i	68.19	0	25.21	24.38	0.83	ejective
s08	geo020s08a0080v02	Cap>it>o	3	t>	3	medial	84.15	1	o	96.66	0	19.88	17.82	2.06	ejective
s08	geo020s08a0081v01	tok>i	2	t	1	initial	82.12	0	o	167.57	0	0	90.59	0	pulmonic
s08	geo020s08a0081v01	tok>i	2	k>	2	medial	58.55	0	i	127.26	1	129.37	127.26	2.10	ejective
s08	geo020s08a0081v02	p>at>ent>i	3	p>	1	initial	65.52	1	a	113.35	0	36.80	34.45	2.34	ejective
s08	geo020s08a0081v02	p>at>ent>i	3	t>	2	medial	73.37	1	e	120.99	0	68.87	65.43	3.45	ejective
s08	geo020s08a0082v01	p>at>ent>i	3	p>	1	initial	70.20	1	a	111.80	0	42.29	40.45	1.83	ejective
s08	geo020s08a0082v01	p>at>ent>i	3	t>	2	medial	68.21	1	e	107.67	0	43.91	41.64	2.27	ejective
s08	geo020s08a0082v02	p>at>ent>i	3	p>	1	initial	52.21	1	a	115.10	1	47.56	44.74	2.82	ejective
s08	geo020s08a0082v02	p>at>ent>i	3	t>	2	medial	70.89	1	e	115.05	0	46.52	44.86	1.66	ejective
s08	geo020s08a0083v02	papa	2	p	1	initial	85.55	1	a	138.85	0	0	102.39	0	pulmonic
s08	geo020s08a0083v02	papa	2	p	2	medial	91.89	0	a	155.17	0	0	81.41	0	pulmonic
s08	geo020s08a0084v01	papa	2	p	1	initial	68.10	0	a	116.88	0	0	64.35	0	pulmonic
s08	geo020s08a0084v01	papa	2	p	2	medial	73.63	0	a	94.73	1	0	71.47	0	pulmonic
s08	geo020s08a0084v02	papa	2	p	1	initial	76.71	0	a	127.51	0	0	64.54	0	pulmonic
s08	geo020s08a0084v02	papa	2	p	2	medial	91.33	0	a	139.96	1	0	83.35	0	pulmonic
s08	geo020s08a0085v01	t>areba	3	t>	1	initial	71.40	1	a	165.93	1	69.24	67.02	2.22	ejective
s08	geo020s08a0085v02	papa	2	p	1	initial	76.81	0	a	139.52	0	0	80.10	0	pulmonic
s08	geo020s08a0085v02	papa	2	p	2	medial	90.71	1	a	163.43	0	0	69.39	0	pulmonic
s08	geo020s08a0086v01	papa	2	p	1	initial	69.16	0	a	121.61	0	0	56.73	0	pulmonic
s08	geo020s08a0086v01	papa	2	p	2	medial	84.80	1	a	94.52	1	0	94.52	0	pulmonic
s08	geo020s08a0086v02	papa	2	p	1	initial	92.28	1	a	134.22	0	0	63.11	0	pulmonic
s08	geo020s08a0086v02	papa	2	p	2	medial	85.22	1	a	130.89	0	0	65.47	0	pulmonic
s08	geo020s08a0087v01	p>asek>i	3	p>	1	initial	84.53	1	a	121.06	1	68.44	65.75	2.69	ejective
s08	geo020s08a0087v01	p>asek>i	3	k>	3	medial	69.50	0	i	111.90	1	111.90	111.90	0	ejective
s08	geo020s08a0087v02	rit>ini	3	t>	2	medial	78.84		i	123.97	0	59.17	55.37	3.79	ejective
s08	geo020s08a0088v01	rit>ini	3	t>	2	medial	59.30	1	i	86.91	0	31.17	28.16	3.01	ejective
s08	geo020s08a0088v02	rit>ini	3	t>	2	medial	77.71	1	i	107.90	0	55.19	52.07	3.12	ejective
s08	geo020s08a0089v01	p>ets>i	2	p>	1	initial	74.55	1	e	125.91	0	51.73	51.73	0	ejective
s08	geo020s08a0093v01	k>abina	3	k>	1	initial	63.54	1	a	119.26	0	41.02	39.31	1.71	ejective
s08	geo020s08a0095v02	t>aksi	2	t>	1	initial	64.19	1	a	146.56	1	78.82	76.85	1.97	ejective
s08	geo020s08a0096v01	t>aksi	2	t>	1	initial	72.65	1	a	100.89	1	51.60	49.98	1.62	ejective
s08	geo020s08a0096v02	t>aksi	2	t>	1	initial	65.05	1	a	119.13	1	67.51	64.41	3.10	ejective
s08	geo020s08a0097v01	p>edali	3	p>	1	initial	83.59	1	e	102.76	0	33.46	32.06	1.39	ejective
s08	geo020s08a0097v02	p>anik>a	3	p>	1	initial	68.01	1	a	139.96	0	66.51	64.17	2.33	ejective
s08	geo020s08a0097v02	p>anik>a	3	k>	3	medial	69.41	1	a	126.08	0	43.78	25.50	18.28	ejective
s08	geo020s08a0098v01	p>anik>a	3	p>	1	initial	72.99	0	a	136.60	0	62.57	62.57	0	ejective
s08	geo020s08a0098v01	p>anik>a	3	k>	3	medial	58.56	1	a	103.81	1	115.56	103.81	11.75	ejective
s08	geo020s08a0098v02	p>anik>a	3	p>	1	initial	71.86	1	a	129.47	0	67.77	64.76	3.01	ejective
s08	geo020s08a0098v02	p>anik>a	3	k>	3	medial	71.19	1	a	108.49	0	37.30	22.51	14.78	ejective
s08	geo020s08a0099v01	putC>i	2	p	1	initial	107.80	0	u	179.17	1	0	179.08	0	pulmonic
s08	geo020s08a0101v02	k>erp>i	2	k>	1	initial	58.47	1	e	117.05	0	44.99	44.99	0	ejective
s08	geo020s08a0102v01	k>erp>i	2	k>	1	initial	73.96	1	e	103.02	0	35.06	32.46	2.60	ejective
s08	geo020s08a0102v02	k>erp>i	2	k>	1	initial	75.77	1	e	122.16	0	83.02	81.43	1.59	ejective
s08	geo020s08a0105v01	papa	2	p	1	initial	78.18	1	a	151.69	0	0	93.28	0	pulmonic
s08	geo020s08a0105v01	papa	2	p	2	medial	75.17	0	a	154.70	1	0	154.70	0	pulmonic
s08	geo020s08a0105v02	teat>ri	3	t	1	initial	69.84	0	e	181.04	0	0	114.01	0	pulmonic
s08	geo020s08a0106v01	teat>ri	3	t	1	initial	73.05	0	e	156.90	0	0	95.47	0	pulmonic
s08	geo020s08a0106v02	teat>ri	3	t	1	initial	68.93	0	e	161.64	0	0	98.31	0	pulmonic
s08	geo020s08a0107v01	p>ap>a	2	p>	1	initial	65.20	1	a	128.65	1	69.60	66.34	3.26	ejective
s08	geo020s08a0107v01	p>ap>a	2	p>	2	medial	85.31	1	a	146.42	1	148.92	146.42	2.51	ejective
s08	geo020s08a0108v01	t>ili	2	t>	1	initial	65.29	1	i	113.87	1	63.32	60.98	2.35	ejective
s08	geo020s08a0108v02	t>ili	2	t>	1	initial	84.21	1	i	134.53	1	73.23	69.95	3.27	ejective
s08	geo020s08a0111v02	t>ari	2	t>	1	initial	83.83	1	a	189.73	0	82.88	77.76	5.12	ejective
s08	geo020s08a0112v01	t>ari	2	t>	1	initial	77.22	1	a	152.36	0	58.39	55.39	3.01	ejective
s08	geo020s08a0112v02	t>ari	2	t>	1	initial	71.47	1	a	176.91	0	78.97	77.11	1.86	ejective
s08	geo020s08a0113v01	p>ij\ama	3	p>	1	initial	86.01	1	i	83.16	0	34.80	31.64	3.16	ejective
s08	geo020s08a0115v01	paCat>i	3	p	1	initial	67.02	0	a	143.96	0	0	78.12	0	pulmonic
s08	geo020s08a0115v01	paCat>i	3	t>	3	medial	67.35	1	i	138.55	1	138.55	138.55	0	ejective
s08	geo020s08a0115v02	p>ats>ats>a	3	p>	1	initial	73.33	1	a	127.89	0	55.32	52.31	3.01	ejective
s08	geo020s08a0116v01	p>ats>ats>a	3	p>	1	initial	59.87	0	a	115.20	0	32.08	32.08	0	ejective
s08	geo020s08a0116v02	p>ats>ats>a	3	p>	1	initial	63.35	1	a	122.91	0	53.64	53.64	0	ejective
s08	geo020s08a0117v01	t>irani	3	t>	1	initial	80.02	1	i	137.34	0	59.75	56.10	3.66	ejective
s08	geo020s08a0117v02	pxak>i	2	k>	2	medial	75.17	1	i	116.88	0	38.19	36.26	1.93	ejective
s08	geo020s08a0118v01	prak>i	2	k>	2	medial	63.60	1	i	81.82	1	81.82	81.82	0	ejective
s08	geo020s08a0118v02	prak>i	2	k>	2	medial	64.69	0	i	105.82	0	46.87	46.87	0	ejective
s08	geo020s08a0119v01	p>aradi	3	p>	1	initial	69.71	1	a	172.56	1	64.34	61.62	2.72	ejective
s08	geo020s08a0119v02	papuk>i	3	p	1	initial	74.85	0	a	147.67	1	0	147.67	0	pulmonic
s08	geo020s08a0119v02	papuk>i	3	p	2	medial	68.85	0	u	141.70	0	0	61.03	0	pulmonic
s08	geo020s08a0119v02	papuk>i	3	k>	3	medial	41.72	1	i	128.58	0	41.22	36.97	4.26	ejective
s08	geo020s08a0120v01	papuk>i	3	p	1	initial	66.27	0	a	132.97	0	0	72.66	0	pulmonic
s08	geo020s08a0120v01	papuk>i	3	p	2	medial	77.10	0	u	124.14	0	0	51.56	0	pulmonic
s08	geo020s08a0120v01	papuk>i	3	k>	3	medial	41.75	0	i	55.88	1	46.01	24.32	21.69	ejective
s08	geo020s08a0120v02	papuk>i	3	p	1	initial	71.77	0	a	126.19	0	0	72.56	0	pulmonic
s08	geo020s08a0120v02	papuk>i	3	p	2	medial	104.37	0	u	89.51	0	0	61.64	0	pulmonic
s08	geo020s08a0120v02	papuk>i	3	k>	3	medial	98.25	0	i	93.59	0	36.59	7.53	29.06	ejective
s08	geo020s08a0121v01	t>ari	2	t>	1	initial	74.32	1	a	165.27	1	70.79	67.66	3.14	ejective
s08	geo020s08a0125v02	t>k>ipa	2	p	2	medial	95.51	0	a	135.73	0	0	15.83	0	pulmonic
s08	geo020s08a0126v01	t>k>ipa	2	p	2	medial	76.93	0	a	113.21	1	0	71.77	0	pulmonic
s08	geo020s08a0127v01	pot>o	2	p	1	initial	84.89	0	o	138.83	0	0	76.47	0	pulmonic
s08	geo020s08a0127v01	pot>o	2	t>	2	medial	73.46	1	o	105.52	1	107.69	105.52	2.17	ejective
s08	geo020s08a0127v02	p>at>aj\i	3	p>	1	initial	60.16	1	a	133.77	0	60.93	59.83	1.10	ejective
s08	geo020s08a0127v02	p>at>aj\i	3	t>	2	medial	62.88	1	a	154.50	0	61.38	58.61	2.77	ejective
s08	geo020s08a0128v01	p>at>aj\i	3	p>	1	initial	53.09	1	a	117.03	0	35.63	34.04	1.59	ejective
s08	geo020s08a0128v01	p>at>aj\i	3	t>	2	medial	61.91	1	a	117.16	1	34.16	32.48	1.67	ejective
s08	geo020s08a0128v02	p>at>aj\i	3	p>	1	initial	55.30	1	a	116.75	0	24.77	22.20	2.57	ejective
s08	geo020s08a0128v02	p>at>aj\i	3	t>	2	medial	59.82	1	a	137.80	0	57.65	55.81	1.85	ejective
s08	geo020s08a0129v01	t>abeli	3	t>	1	initial	71.76	1	a	132.49	1	45.45	42.40	3.06	ejective
s08	geo020s08a0133v01	p>alt>o	2	p>	1	initial	82.13	1	a	124.65	1	72.00	69.31	2.69	ejective
s08	geo020s08a0135v02	kert>li	2	k	1	initial	65.49	0	e	156.05	0	0	103.49	0	pulmonic
s08	geo020s08a0136v01	kert>li	2	k	1	initial	78.09	0	e	144.13	0	0	91.86	0	pulmonic
s08	geo020s08a0136v02	kert>li	2	k	1	initial	56.70	0	e	159.36	0	0	106.07	0	pulmonic
s08	geo020s08a0137v01	p>ak>et>i	3	p>	1	initial	72.48	1	a	117.64	0	33.07	31.29	1.78	ejective
s08	geo020s08a0137v01	p>ak>et>i	3	k>	2	medial	63.23	1	e	113.92	0	52.68	50.69	1.99	ejective
s08	geo020s08a0137v01	p>ak>et>i	3	t>	3	medial	67.36	1	i	118.44	1	121.22	118.44	2.78	ejective
s08	geo020s08a0139v01	t>eva	2	t>	1	initial	104.01	1	e	126.89	0	66.93	63.48	3.45	ejective
s08	geo020s08a0141v01	pakt>i	2	p	1	initial	68.00	1	a	137.59	0	0	66.13	0	pulmonic
s08	geo020s08a0141v02	k>aba	2	k>	1	initial	51.92	1	a	121.74	0	62.35	60.41	1.95	ejective
s08	geo020s08a0142v01	k>aba	2	k>	1	initial	49.70	1	a	103.16	0	48.88	47.17	1.72	ejective
s08	geo020s08a0142v02	k>aba	2	k>	1	initial	47.69	1	a	119.12	0	43.67	40.55	3.12	ejective
s08	geo020s08a0143v02	k>arada	3	k>	1	initial	58.23	1	a	164.02	1	62.34	59.75	2.59	ejective
s08	geo020s08a0144v01	k>arada	3	k>	1	initial	71.00	1	a	143.67	0	63.43	61.83	1.61	ejective
s08	geo020s08a0144v02	k>arada	3	k>	1	initial	50.92	1	a	135.76	0	52.37	48.88	3.49	ejective
s08	geo020s08a0145v01	k>rit>ik>a	3	t>	2	medial	94.82	0	i	77.72	0	19.90	3.93	15.97	ejective
s08	geo020s08a0145v01	k>rit>ik>a	3	k>	3	medial	63.47	1	a	111.60	1	79.29	35.63	43.67	ejective
s08	geo020s08a0145v02	pxek>a	2	k>	2	medial	73.75	1	a	140.74	0	35.30	33.70	1.60	ejective
s08	geo020s08a0146v01	pxek>a	2	k>	2	medial	66.77	1	a	107.51	1	108.89	107.51	1.37	ejective
s08	geo020s08a0146v02	pxek>a	2	k>	2	medial	55.54	1	a	155.29	0	58.36	56.29	2.07	ejective
s08	geo020s08a0148v01	t>ekst>i	2	t>	1	initial	75.63	1	e	97.30	1	99.89	97.30	2.59	ejective
s08	geo020s08a0148v02	t>ekst>i	2	t>	1	initial	75.38	1	e	104.76	1	109.65	104.76	4.89	ejective
s08	geo020s08a0149v01	t>ani	2	t>	1	initial	84.75	1	a	159.07	0	49.24	45.60	3.65	ejective
s08	geo020s08a0153v02	k>ak>ali	3	k>	1	initial	55.77	1	a	141.90	1	80.22	78.74	1.48	ejective
s08	geo020s08a0153v02	k>ak>ali	3	k>	2	medial	74.35	1	a	151.72	0	68.91	68.07	0.85	ejective
s08	geo020s08a0154v01	k>ak>ali	3	k>	1	initial	48.76	1	a	120.71	0	42.47	42.47	0	ejective
s08	geo020s08a0154v01	k>ak>ali	3	k>	2	medial	60.21	1	a	109.37	0	40.91	40.28	0.63	ejective
s08	geo020s08a0154v02	k>ak>ali	3	k>	1	initial	53.93	1	a	135.97	0	76.00	74.23	1.78	ejective
s08	geo020s08a0154v02	k>ak>ali	3	k>	2	medial	68.11	1	a	126.11	0	58.11	57.15	0.96	ejective
s08	geo020s08a0155v02	k>amera	3	k>	1	initial	59.21	1	a	129.41	0	76.54	74.78	1.76	ejective
s08	geo020s08a0156v01	k>amera	3	k>	1	initial	67.79	1	a	122.13	1	59.32	58.25	1.07	ejective
s08	geo020s08a0156v02	k>amera	3	k>	1	initial	55.45	1	a	94.40	0	33.07	30.83	2.24	ejective
s08	geo020s08a0157v01	post>amt>i	3	p	1	initial	84.50	0	o	132.29	0	0	72.65	0	pulmonic
s08	geo020s08a0158v01	p>akt>i	2	p>	1	initial	63.56	1	a	115.44	1	59.25	56.91	2.34	ejective
s08	geo020s08a0158v02	p>akt>i	2	p>	1	initial	73.91	1	a	147.06	0	80.58	78.52	2.07	ejective
s08	geo020s08a0159v01	t>it>uli	3	t>	1	initial	81.67	1	i	123.37	0	62.50	60.54	1.96	ejective
s08	geo020s08a0159v01	t>it>uli	3	t>	2	medial	65.87	1	u	111.66	0	28.55	24.39	4.16	ejective
s08	geo020s08a0161v02	k>enk>ra	2	k>	1	initial	47.88	1	e	104.56	0	62.41	61.58	0.83	ejective
s08	geo020s08a0162v01	k>enk>ra	2	k>	1	initial	59.78	1	e	114.08	0	51.23	50.80	0.43	ejective
s08	geo020s08a0162v02	k>enk>ra	2	k>	1	initial	44.26	1	e	109.55	0	61.55	56.95	4.60	ejective
s08	geo020s08a0163v01	p>ilot>i	3	p>	1	initial	74.21	1	i	95.47	0	38.40	37.44	0.95	ejective
