#file onset offset #item phone pulm place vowel position speaker
geo020s08a0062v02 0.958318 1.127958 #i71 k>a ejective velar a medial she
geo020s08a0063v01 0.719554 0.964005 #i72 p>i ejective labial i initial she
geo020s08a0064v01 0.646078 0.841372 #i75 p>a ejective labial a initial she
geo020s08a0064v01 1.043696 1.191128 #i76 t>i ejective coronal i medial she
geo020s08a0064v02 0.602567 0.805867 #i77 p>a ejective labial a initial she
geo020s08a0064v02 1.015334 1.209162 #i78 t>i ejective coronal i medial she
geo020s08a0065v01 0.797459 0.993542 #i79 k>a ejective velar a initial she
geo020s08a0065v01 0.993542 1.193841 #i80 t>a ejective coronal a medial she
geo020s08a0067v01 0.833092 1.008616 #i81 k>e ejective velar e initial she
geo020s08a0067v02 0.669085 0.866517 #i82 p>a ejective labial a initial she
geo020s08a0068v01 0.814684 1.007574 #i83 p>a ejective labial a initial she
geo020s08a0068v02 0.573515 0.763737 #i84 p>a ejective labial a initial she
geo020s08a0069v02 0.667648 0.897114 #i85 p>a ejective labial a initial she
geo020s08a0070v01 0.663168 0.865928 #i86 p>a ejective labial a initial she
geo020s08a0070v02 0.464491 0.650079 #i87 p>a ejective labial a initial she
geo020s08a0071v01 0.801090 0.993317 #i88 k>e ejective velar e initial she
geo020s08a0073v01 0.816299 1.053079 #i89 po plain labial o initial she
geo020s08a0075v02 0.714341 0.885384 #i90 k>a ejective velar a initial she
geo020s08a0075v02 0.885384 1.058709 #i91 p>e ejective labial e medial she
geo020s08a0076v01 0.818074 0.997540 #i92 k>a ejective velar a initial she
geo020s08a0076v02 0.602215 0.757786 #i93 k>a ejective velar a initial she
geo020s08a0076v02 0.757786 0.924796 #i94 p>e ejective labial e medial she
geo020s08a0077v02 0.652564 0.823924 #i95 k>a ejective velar a initial she
geo020s08a0078v01 0.793551 0.966477 #i96 k>a ejective velar a initial she
geo020s08a0078v02 0.594495 0.780405 #i97 k>a ejective velar a initial she
geo020s08a0079v02 0.900558 1.061994 #i98 p>i ejective labial i medial she
geo020s08a0079v02 1.061994 1.280926 #i99 t>o ejective coronal o medial she
geo020s08a0080v01 0.868777 1.015651 #i100 p>i ejective labial i medial she
geo020s08a0080v01 1.015651 1.164686 #i101 t>o ejective coronal o medial she
geo020s08a0080v02 0.852860 1.009989 #i102 p>i ejective labial i medial she
geo020s08a0080v02 1.009989 1.190795 #i103 t>o ejective coronal o medial she
geo020s08a0081v01 0.676359 0.926044 #i104 to plain coronal o initial she
geo020s08a0081v01 0.926044 1.111860 #i105 k>i ejective velar i medial she
geo020s08a0081v02 0.713665 0.892535 #i106 p>a ejective labial a initial she
geo020s08a0081v02 0.892535 1.086900 #i107 t>e ejective coronal e medial she
geo020s08a0082v01 0.624177 0.806174 #i108 p>a ejective labial a initial she
geo020s08a0082v01 0.806174 0.982048 #i109 t>e ejective coronal e medial she
geo020s08a0082v02 0.695336 0.862648 #i110 p>a ejective labial a initial she
geo020s08a0082v02 0.862648 1.048580 #i111 t>e ejective coronal e medial she
geo020s08a0083v02 0.626276 0.850672 #i112 pa plain labial a initial she
geo020s08a0083v02 0.850672 1.097737 #i113 pa plain labial a medial she
geo020s08a0084v01 0.632335 0.817321 #i114 pa plain labial a initial she
geo020s08a0084v01 0.817321 0.985680 #i115 pa plain labial a medial she
geo020s08a0084v02 0.586568 0.790786 #i116 pa plain labial a initial she
geo020s08a0084v02 0.790786 1.022084 #i117 pa plain labial a medial she
geo020s08a0085v01 0.714779 0.952105 #i118 t>a ejective coronal a initial she
geo020s08a0085v02 0.693574 0.909904 #i119 pa plain labial a initial she
geo020s08a0085v02 0.909904 1.164040 #i120 pa plain labial a medial she
geo020s08a0086v01 0.555576 0.746346 #i121 pa plain labial a initial she
geo020s08a0086v01 0.746346 0.925671 #i122 pa plain labial a medial she
geo020s08a0086v02 0.617647 0.844152 #i123 pa plain labial a initial she
geo020s08a0086v02 0.844152 1.060267 #i124 pa plain labial a medial she
geo020s08a0087v01 0.885794 1.091383 #i125 p>a ejective labial a initial she
geo020s08a0087v01 1.306648 1.488050 #i126 k>i ejective velar i medial she
geo020s08a0087v02 1.049204 1.252008 #i127 t>i ejective coronal i medial she
geo020s08a0088v01 0.943406 1.089612 #i128 t>i ejective coronal i medial she
geo020s08a0088v02 0.814147 0.999756 #i129 t>i ejective coronal i medial she
geo020s08a0089v01 1.050552 1.251009 #i130 p>e ejective labial e initial she
geo020s08a0093v01 0.759151 0.941954 #i131 k>a ejective velar a initial she
geo020s08a0095v02 0.588894 0.799640 #i132 t>a ejective coronal a initial she
geo020s08a0096v01 0.688429 0.861968 #i133 t>a ejective coronal a initial she
geo020s08a0096v02 0.679400 0.863584 #i134 t>a ejective coronal a initial she
geo020s08a0097v01 0.730004 0.916353 #i135 p>e ejective labial e initial she
geo020s08a0097v02 0.559913 0.767884 #i136 p>a ejective labial a initial she
geo020s08a0097v02 0.903064 1.098557 #i137 k>a ejective velar a medial she
geo020s08a0098v01 0.697107 0.906689 #i138 p>a ejective labial a initial she
geo020s08a0098v01 1.024950 1.187320 #i139 k>a ejective velar a medial she
geo020s08a0098v02 0.604954 0.806280 #i140 p>a ejective labial a initial she
geo020s08a0098v02 0.928659 1.108333 #i141 k>a ejective velar a medial she
geo020s08a0099v01 0.882966 1.169933 #i142 pu plain labial u initial she
geo020s08a0101v02 0.696843 0.872361 #i143 k>e ejective velar e initial she
geo020s08a0102v01 0.825507 1.002482 #i144 k>e ejective velar e initial she
geo020s08a0102v02 0.695552 0.893486 #i145 k>e ejective velar e initial she
geo020s08a0105v01 0.776023 1.005891 #i146 pa plain labial a initial she
geo020s08a0105v01 1.005891 1.235759 #i147 pa plain labial a medial she
geo020s08a0105v02 0.894013 1.144891 #i148 te plain coronal e initial she
geo020s08a0106v01 0.743085 0.973033 #i149 te plain coronal e initial she
geo020s08a0106v02 0.566831 0.797397 #i150 te plain coronal e initial she
geo020s08a0107v01 0.751399 0.945250 #i151 p>a ejective labial a initial she
geo020s08a0107v01 0.945250 1.176979 #i152 p>a ejective labial a medial she
geo020s08a0108v01 0.868199 1.047360 #i153 t>i ejective coronal i initial she
geo020s08a0108v02 0.705349 0.924095 #i154 t>i ejective coronal i initial she
geo020s08a0111v02 0.701762 0.975322 #i155 t>a ejective coronal a initial she
geo020s08a0112v01 0.857607 1.087190 #i156 t>a ejective coronal a initial she
geo020s08a0112v02 0.627992 0.876376 #i157 t>a ejective coronal a initial she
geo020s08a0113v01 0.908157 1.077332 #i158 p>i ejective labial i initial she
geo020s08a0115v01 0.951260 1.162241 #i159 pa plain labial a initial she
geo020s08a0115v01 1.375763 1.581659 #i160 t>i ejective coronal i medial she
geo020s08a0115v02 0.652687 0.853904 #i161 p>a ejective labial a initial she
geo020s08a0116v01 0.782357 0.957425 #i162 p>a ejective labial a initial she
geo020s08a0116v02 0.651338 0.837602 #i163 p>a ejective labial a initial she
geo020s08a0118v01 1.077017 1.222435 #i166 k>i ejective velar i medial she
geo020s08a0118v02 0.868953 1.039458 #i167 k>i ejective velar i medial she
geo020s08a0119v01 0.898461 1.140734 #i168 p>a ejective labial a initial she
geo020s08a0119v02 0.687219 0.909731 #i169 pa plain labial a initial she
geo020s08a0119v02 0.909731 1.120280 #i170 pu plain labial u medial she
geo020s08a0119v02 1.120280 1.290577 #i171 k>i ejective velar i medial she
geo020s08a0120v01 0.588214 0.787455 #i172 pa plain labial a initial she
geo020s08a0120v01 0.787455 0.988689 #i173 pu plain labial u medial she
geo020s08a0120v01 0.988689 1.086317 #i174 k>i ejective velar i medial she
geo020s08a0120v02 0.524959 0.722921 #i175 pa plain labial a initial she
geo020s08a0120v02 0.722921 0.916801 #i176 pu plain labial u medial she
geo020s08a0120v02 0.916801 1.108640 #i177 k>i ejective velar i medial she
geo020s08a0121v01 0.859546 1.099132 #i178 t>a ejective coronal a initial she
geo020s08a0125v02 0.927689 1.158929 #i179 pa plain labial a medial she
geo020s08a0126v01 1.309196 1.499335 #i180 pa plain labial a medial she
geo020s08a0127v01 0.770486 0.994207 #i181 po plain labial o initial she
geo020s08a0127v01 0.994207 1.173183 #i182 t>o ejective coronal o medial she
geo020s08a0127v02 0.554576 0.748508 #i183 p>a ejective labial a initial she
geo020s08a0127v02 0.748508 0.965883 #i184 t>a ejective coronal a medial she
geo020s08a0128v01 0.678740 0.848858 #i185 p>a ejective labial a initial she
geo020s08a0128v01 0.848858 1.027929 #i186 t>a ejective coronal a medial she
geo020s08a0128v02 0.702673 0.874722 #i187 p>a ejective labial a initial she
geo020s08a0128v02 0.874722 1.072345 #i188 t>a ejective coronal a medial she
geo020s08a0129v01 1.060093 1.264336 #i189 t>a ejective coronal a initial she
geo020s08a0133v01 0.795091 1.001877 #i190 p>a ejective labial a initial she
geo020s08a0135v02 0.676553 0.898096 #i191 ke plain velar e initial she
geo020s08a0136v01 0.730107 0.952324 #i192 ke plain velar e initial she
geo020s08a0136v02 0.724909 0.940969 #i193 ke plain velar e initial she
geo020s08a0137v01 0.711285 0.901406 #i194 p>a ejective labial a initial she
geo020s08a0137v01 0.901406 1.078564 #i195 k>e ejective velar e medial she
geo020s08a0137v01 1.078564 1.264364 #i196 t>i ejective coronal i medial she
geo020s08a0139v01 0.831256 1.062159 #i197 t>e ejective coronal e initial she
geo020s08a0141v01 0.755768 0.961358 #i198 pa plain labial a initial she
geo020s08a0141v02 0.672071 0.845729 #i199 k>a ejective velar a initial she
geo020s08a0142v01 0.831988 0.984848 #i200 k>a ejective velar a initial she
geo020s08a0142v02 0.699870 0.866682 #i201 k>a ejective velar a initial she
geo020s08a0143v02 0.714437 0.936686 #i202 k>a ejective velar a initial she
geo020s08a0144v01 0.723942 0.938617 #i203 k>a ejective velar a initial she
geo020s08a0144v02 0.644239 0.830927 #i204 k>a ejective velar a initial she
geo020s08a0145v01 0.988001 1.160535 #i205 t>i ejective coronal i medial she
geo020s08a0145v01 1.160535 1.335606 #i206 k>a ejective velar a medial she
geo020s08a0145v02 1.031884 1.246383 #i207 k>a ejective velar a medial she
geo020s08a0146v01 1.357234 1.531519 #i208 k>a ejective velar a medial she
geo020s08a0146v02 0.971915 1.182750 #i209 k>a ejective velar a medial she
geo020s08a0148v01 0.775695 0.948630 #i210 t>e ejective coronal e initial she
geo020s08a0148v02 0.670144 0.850289 #i211 t>e ejective coronal e initial she
geo020s08a0149v01 0.832196 1.076016 #i212 t>a ejective coronal a initial she
geo020s08a0153v02 0.703959 0.901628 #i213 k>a ejective velar a initial she
geo020s08a0153v02 0.901628 1.127705 #i214 k>a ejective velar a medial she
geo020s08a0154v01 0.706166 0.875638 #i215 k>a ejective velar a initial she
geo020s08a0154v01 0.875638 1.045225 #i216 k>a ejective velar a medial she
geo020s08a0154v02 0.637109 0.827015 #i217 k>a ejective velar a initial she
geo020s08a0154v02 0.827015 1.021238 #i218 k>a ejective velar a medial she
geo020s08a0155v02 0.682136 0.870754 #i219 k>a ejective velar a initial she
geo020s08a0156v01 0.805313 0.995239 #i220 k>a ejective velar a initial she
geo020s08a0156v02 0.608070 0.757918 #i221 k>a ejective velar a initial she
geo020s08a0157v01 0.535545 0.752339 #i222 po plain labial o initial she
geo020s08a0158v01 0.906540 1.085538 #i223 p>a ejective labial a initial she
geo020s08a0158v02 0.656856 0.877830 #i224 p>a ejective labial a initial she
geo020s08a0159v01 1.000743 1.205779 #i225 t>i ejective coronal i initial she
geo020s08a0159v01 1.205779 1.383310 #i226 t>u ejective coronal u medial she
geo020s08a0161v02 0.737178 0.889621 #i227 k>e ejective velar e initial she
geo020s08a0162v01 0.953539 1.127397 #i228 k>e ejective velar e initial she
geo020s08a0162v02 0.631489 0.785292 #i229 k>e ejective velar e initial she
geo020s08a0163v01 0.841996 1.011676 #i230 p>i ejective labial i initial she
geo020s08a0163v01 1.175667 1.360873 #i231 t>i ejective coronal i medial she
geo020s08a0167v01 0.921898 1.108056 #i232 k>a ejective velar a initial she
geo020s08a0167v01 1.108056 1.282431 #i233 k>a ejective velar a medial she
geo020s08a0170v01 0.929510 1.113280 #i234 t>a ejective coronal a medial she
geo020s08a0170v02 0.813962 1.007821 #i235 t>a ejective coronal a medial she
geo020s08a0174v01 0.843716 1.028588 #i236 k>a ejective velar a initial she
geo020s08a0174v01 1.028588 1.168990 #i237 k>a ejective velar a medial she
geo020s08a0174v02 0.520595 0.710926 #i238 k>a ejective velar a initial she
geo020s08a0174v02 0.710926 0.903471 #i239 k>a ejective velar a medial she
geo020s08a0175v01 0.595767 0.811490 #i240 t>e ejective coronal e initial she
geo020s08a0179v02 0.837359 1.062917 #i241 p>i ejective labial i medial she
geo020s08a0180v01 1.012978 1.159434 #i242 p>i ejective labial i medial she
geo020s08a0180v02 0.805312 0.996323 #i243 p>i ejective labial i medial she
geo020s08a0181v01 0.709302 0.874414 #i244 t>a ejective coronal a initial she
geo020s08a0181v02 0.743534 0.964109 #i245 k>a ejective velar a initial she
geo020s08a0182v01 0.824202 1.036832 #i246 k>a ejective velar a initial she
geo020s08a0182v02 0.693114 0.927876 #i247 k>a ejective velar a initial she
geo020s08a0183v02 0.653885 0.855101 #i248 t>e ejective coronal e initial she
geo020s08a0184v01 0.707643 0.878858 #i249 t>e ejective coronal e initial she
geo020s08a0184v02 0.500712 0.661158 #i250 t>e ejective coronal e initial she
geo020s08a0189v01 0.804431 1.026723 #i251 ko plain velar o initial she
geo020s08a0189v02 0.623537 0.831325 #i252 t>o ejective coronal o initial she
geo020s08a0190v01 0.645993 0.830691 #i253 t>o ejective coronal o initial she
geo020s08a0190v02 0.624540 0.805996 #i254 t>o ejective coronal o initial she
geo020s08a0191v02 0.635949 0.835588 #i255 p>a ejective labial a initial she
geo020s08a0191v02 0.835588 1.074795 #i256 pi plain labial i medial she
geo020s08a0192v01 0.737476 0.920889 #i257 p>a ejective labial a initial she
geo020s08a0192v01 0.920889 1.091675 #i258 pi plain labial i medial she
geo020s08a0192v02 0.558224 0.745204 #i259 p>a ejective labial a initial she
geo020s08a0192v02 0.745204 0.961605 #i260 pi plain labial i medial she
geo020s08a0193v01 0.967368 1.122227 #i261 t>e ejective coronal e medial she
geo020s08a0193v01 1.122227 1.292176 #i262 t>i ejective coronal i medial she
geo020s08a0193v02 0.589835 0.775866 #i263 p>a ejective labial a initial she
geo020s08a0193v02 0.775866 0.968964 #i264 t>a ejective coronal a medial she
geo020s08a0194v01 0.658023 0.818327 #i265 p>a ejective labial a initial she
geo020s08a0194v01 0.818327 1.005606 #i266 t>a ejective coronal a medial she
geo020s08a0194v02 0.592133 0.749292 #i267 p>a ejective labial a initial she
geo020s08a0194v02 0.749292 0.915746 #i268 t>a ejective coronal a medial she
geo020s08a0195v01 0.802481 0.999470 #i269 t>a ejective coronal a initial she
geo020s08a0195v01 1.176481 1.340280 #i270 k>a ejective velar a medial she
geo020s08a0197v01 0.847269 1.043110 #i271 p>a ejective labial a initial she
geo020s08a0197v01 1.253529 1.468191 #i272 t>i ejective coronal i medial she
geo020s08a0197v02 0.762458 1.008466 #i273 p>i ejective labial i initial she
geo020s08a0198v01 0.855140 1.032742 #i274 p>i ejective labial i initial she
geo020s08a0198v02 0.645420 0.855222 #i275 p>i ejective labial i initial she
geo020s08a0199v02 0.667028 0.836280 #i276 k>a ejective velar a initial she
geo020s08a0199v02 0.836280 1.052374 #i277 t>a ejective coronal a medial she
geo020s08a0200v01 0.706608 0.875778 #i278 k>a ejective velar a initial she
geo020s08a0200v01 0.875778 1.034523 #i279 t>a ejective coronal a medial she
geo020s08a0200v02 0.606436 0.762376 #i280 k>a ejective velar a initial she
geo020s08a0200v02 0.762376 0.964521 #i281 t>a ejective coronal a medial she
geo020s08a0201v01 0.782428 0.980646 #i282 p>a ejective labial a initial she
geo020s08a0202v01 0.696812 0.875317 #i283 k>e ejective velar e initial she
geo020s08a0202v02 0.562744 0.709782 #i284 k>e ejective velar e initial she
geo020s08a0203v01 0.693165 0.881949 #i285 p>a ejective labial a initial she
geo020s08a0205v02 0.765094 0.973654 #i286 k>e ejective velar e initial she
geo020s08a0206v01 0.860094 1.031244 #i287 k>e ejective velar e initial she
geo020s08a0206v02 0.620724 0.802975 #i288 k>e ejective velar e initial she
geo020s08a0207v02 0.657117 0.857644 #i289 po plain labial o initial she
geo020s08a0208v01 0.948874 1.131280 #i290 po plain labial o initial she
geo020s08a0208v02 0.499182 0.726709 #i291 po plain labial o initial she
geo020s08a0209v01 0.634622 0.809213 #i292 k>a ejective velar a initial she
geo020s08a0209v01 0.809213 0.982052 #i293 p>e ejective labial e medial she
geo020s08a0211v01 0.797247 0.951319 #i294 k>a ejective velar a initial she
geo020s08a0213v01 1.152514 1.299251 #i295 p>i ejective labial i medial she
geo020s08a0213v01 1.299251 1.471681 #i296 t>o ejective coronal o medial she
geo020s08a0215v01 0.740317 0.927306 #i297 p>a ejective labial a initial she
geo020s08a0215v01 0.927306 1.071391 #i298 t>e ejective coronal e medial she
geo020s08a0215v02 0.657218 0.858613 #i299 to plain coronal o initial she
geo020s08a0215v02 0.858613 1.068468 #i300 k>i ejective velar i medial she
geo020s08a0216v01 0.597874 0.746981 #i301 to plain coronal o initial she
geo020s08a0216v01 0.746981 0.848710 #i302 k>i ejective velar i medial she
geo020s08a0216v02 0.444954 0.618323 #i303 to plain coronal o initial she
geo020s08a0216v02 0.618323 0.748048 #i304 k>i ejective velar i medial she
geo020s08a0217v01 0.797378 0.986752 #i305 pa plain labial a initial she
geo020s08a0217v01 0.986752 1.184082 #i306 pa plain labial a medial she
geo020s08a0219v01 0.811493 1.035365 #i307 pa plain labial a initial she
geo020s08a0219v01 1.035365 1.253451 #i308 pa plain labial a medial she
geo020s08a0219v02 0.588347 0.785042 #i309 t>a ejective coronal a initial she
geo020s08a0220v01 0.826651 1.013143 #i310 t>a ejective coronal a initial she
geo020s08a0220v02 0.645921 0.826029 #i311 t>a ejective coronal a initial she
geo020s08a0221v01 0.901312 1.064499 #i312 t>i ejective coronal i medial she
geo020s08a0221v02 0.679503 0.858099 #i313 p>a ejective labial a initial she
geo020s08a0221v02 1.045200 1.217881 #i314 ki plain velar i medial she
geo020s08a0222v01 1.096152 1.244180 #i315 ki plain velar i medial she
geo020s08a0222v02 1.003408 1.206045 #i316 ki plain velar i medial she
geo020s08a0233v02 0.642364 0.869977 #i317 pu plain labial u initial she
geo020s08a0234v01 0.781354 1.013944 #i318 pu plain labial u initial she
geo020s08a0234v02 0.717216 0.962618 #i319 pu plain labial u initial she
geo020s08a0239v01 0.898617 1.175933 #i320 te plain coronal e initial she
geo020s08a0239v02 0.613720 0.839580 #i321 pa plain labial a initial she
geo020s08a0239v02 0.839580 1.080274 #i322 pa plain labial a medial she
geo020s08a0240v01 0.831724 1.020120 #i323 pa plain labial a initial she
geo020s08a0240v01 1.020120 1.200921 #i324 pa plain labial a medial she
geo020s08a0240v02 0.595207 0.780808 #i325 pa plain labial a initial she
geo020s08a0240v02 0.780808 0.977123 #i326 pa plain labial a medial she
geo020s08a0249v02 0.610461 0.844992 #i327 pa plain labial a initial she
geo020s08a0250v01 0.640772 0.856449 #i328 pa plain labial a initial she
geo020s08a0250v02 0.640967 0.840400 #i329 pa plain labial a initial she
geo020s09a0001v01 0.530538 0.699750 #i330 ke plain velar e initial he
geo020s09a0003v02 0.655733 0.843406 #i331 p>a ejective labial a initial he
geo020s09a0003v02 0.843406 0.991515 #i332 k>e ejective velar e medial he
geo020s09a0003v02 0.991515 1.308476 #i333 t>i ejective coronal i medial he
geo020s09a0004v01 1.842851 2.019226 #i334 p>a ejective labial a initial he
geo020s09a0004v01 2.019226 2.141162 #i335 k>e ejective velar e medial he
geo020s09a0004v01 2.141162 2.271812 #i336 t>i ejective coronal i medial he
geo020s09a0004v02 0.433563 0.590413 #i337 p>a ejective labial a initial he
geo020s09a0004v02 0.590413 0.735982 #i338 k>e ejective velar e medial he
geo020s09a0004v02 0.735982 0.902478 #i339 t>i ejective coronal i medial he
geo020s09a0005v02 0.624523 1.010681 #i340 t>e ejective coronal e initial he
geo020s09a0006v01 1.315905 1.515979 #i341 t>e ejective coronal e initial he
geo020s09a0006v02 0.594625 0.788211 #i342 t>e ejective coronal e initial he
geo020s09a0007v01 1.496860 1.704127 #i343 k>a ejective velar a initial he
geo020s09a0007v02 0.645278 0.858639 #i344 pa plain labial a initial he
geo020s09a0008v02 1.201168 1.369500 #i345 pa plain labial a initial he
geo020s09a0009v01 1.137472 1.343587 #i346 k>a ejective velar a initial he
geo020s09a0011v01 1.990186 2.192629 #i347 k>a ejective velar a medial he
geo020s09a0011v02 0.970885 1.116436 #i348 t>i ejective coronal i medial he
geo020s09a0011v02 1.116436 1.290483 #i349 k>a ejective velar a medial he
geo020s09a0012v01 1.404365 1.535678 #i350 t>i ejective coronal i medial he
geo020s09a0012v01 1.535678 1.658348 #i351 k>a ejective velar a medial he
geo020s09a0012v02 0.738792 0.888926 #i352 t>i ejective coronal i medial he
geo020s09a0012v02 0.888926 1.039875 #i353 k>a ejective velar a medial he
geo020s09a0013v01 0.734074 0.925262 #i354 t>e ejective coronal e initial he
geo020s09a0015v02 0.697692 0.918201 #i355 t>a ejective coronal a initial he
geo020s09a0016v01 1.196625 1.394254 #i356 t>a ejective coronal a initial he
geo020s09a0016v02 0.726523 0.938896 #i357 t>a ejective coronal a initial he
geo020s09a0019v01 1.097490 1.308429 #i358 k>a ejective velar a initial he
geo020s09a0019v01 1.308429 1.463088 #i359 k>a ejective velar a medial he
geo020s09a0021v01 1.352052 1.543100 #i360 k>a ejective velar a initial he
geo020s09a0023v01 0.803754 1.066839 #i361 p>a ejective labial a initial he
geo020s09a0024v01 1.131471 1.425471 #i362 po plain labial o initial he
geo020s09a0024v02 0.957917 1.291183 #i363 po plain labial o initial he
geo020s09a0025v02 0.627460 0.802959 #i364 t>i ejective coronal i initial he
geo020s09a0025v02 0.802959 0.973659 #i365 t>u ejective coronal u medial he
geo020s09a0026v01 0.884785 1.057965 #i366 t>i ejective coronal i initial he
geo020s09a0026v01 1.057965 1.192657 #i367 t>u ejective coronal u medial he
geo020s09a0027v01 1.154316 1.333327 #i368 k>e ejective velar e initial he
geo020s09a0030v01 1.100374 1.295042 #i369 p>i ejective labial i initial he
geo020s09a0030v01 1.417654 1.565364 #i370 t>i ejective coronal i medial he
geo020s09a0030v02 1.000446 1.206552 #i371 p>i ejective labial i initial he
geo020s09a0030v02 1.350173 1.577876 #i372 t>i ejective coronal i medial he
